12,"How do I update household information?","To update household information, visit the barangay office and bring any supporting documents needed for the change, such as proof of address or household member details.","update household information,edit household,change household details,household update,household address,family record update",1,6
13,"What are the requirements for assistance?","Requirements for assistance depend on the type of help being requested. Usually, you need a valid ID, proof of residency, and supporting documents related to your request. Please visit the barangay office so staff can confirm the exact requirements for your assistance application.","requirements for assistance,assistance requirements,ask requirements for assistance,financial assistance,barangay assistance,documents for assistance,mga requirements for assistance,aid requirements",1,7
14,"How do I apply for barangay assistance?","To apply for barangay assistance, go to the barangay office, explain the type of assistance you need, and submit the required identification and supporting documents.","apply for assistance,barangay assistance application,how to apply assistance,request assistance,assistance process,aid application",1,7
15,"What are the requirements for burial aid?","For burial aid, residents usually need a valid ID, proof of residency, death certificate, and documents showing relationship to the deceased. Please coordinate with the barangay office for the exact list of required documents and available assistance.","requirements for burial aid,burial aid requirements,funeral assistance,death assistance,documents for burial aid,libing assistance,burial support",1,7
16,"How do I apply for burial aid?","To apply for burial aid, visit the barangay office, explain the request, and submit the required identification and death-related supporting documents for evaluation.","apply for burial aid,burial aid application,funeral assistance application,how to get burial aid,request burial aid",1,7
17,"What are the requirements for medical assistance?","For medical assistance, you usually need a valid ID, proof of residency, medical certificate or prescription, and other medical documents related to the request. The barangay office can confirm the exact requirements based on your case.","requirements for medical assistance,medical assistance requirements,medical aid,health assistance,medical documents,prescription requirement,medical certificate",1,7
18,"How do I apply for medical assistance?","To apply for medical assistance, go to the barangay office and submit your identification together with medical records or prescriptions needed to support your request.","apply for medical assistance,medical assistance application,health aid application,request medical assistance,medical support process",1,7
19,"What are the requirements for scholarship assistance?","For scholarship assistance, residents commonly need a valid ID, proof of residency, school registration or enrollment documents, and any academic records required by the program. Please ask the barangay office for the exact scholarship requirements available in your area.","requirements for scholarship assistance,scholarship requirements,educational assistance,student assistance,enrollment documents,school requirements,scholarship aid",1,7
20,"How do I apply for scholarship assistance?","To apply for scholarship assistance, visit the barangay office, ask about the available educational support program, and submit the required student and residency documents.","apply for scholarship assistance,scholarship application,educational assistance application,student aid application,how to get scholarship assistance",1,7
21,"What are the requirements for senior assistance?","For senior assistance, residents usually need a valid ID, proof of residency, and documents confirming senior citizen status if required. Please ask the barangay office for the exact requirements and available support for senior citizens.","requirements for senior assistance,senior assistance requirements,senior citizen assistance,elderly assistance,requirements for senior citizen aid,senior aid documents",1,7
22,"How do I apply for senior assistance?","To apply for senior assistance, visit the barangay office and submit your identification, proof of residency, and any documents needed to support your request.","apply for senior assistance,senior assistance application,senior citizen aid application,elderly assistance process,request senior assistance",1,7
23,"What are the requirements for PWD assistance?","For PWD assistance, residents commonly need a valid ID, proof of residency, and documents supporting PWD status such as a PWD ID or medical certification, depending on the assistance requested.","requirements for pwd assistance,pwd assistance requirements,person with disability assistance,pwd aid,pwd documents,pwd id requirement,disability assistance",1,7
24,"How do I apply for PWD assistance?","To apply for PWD assistance, go to the barangay office and submit your valid ID, proof of residency, and supporting PWD-related documents for evaluation.","apply for pwd assistance,pwd assistance application,disability aid application,request pwd assistance,how to get pwd aid",1,7
25,"What are the requirements for solo parent assistance?","For solo parent assistance, you usually need a valid ID, proof of residency, and documents confirming solo parent status or household circumstances, depending on the program.","requirements for solo parent assistance,solo parent assistance requirements,solo parent aid,solo parent documents,solo parent status requirement,assistance for solo parent",1,7
26,"How do I apply for solo parent assistance?","To apply for solo parent assistance, visit the barangay office and submit your identification, proof of residency, and any documents required to verify your solo parent status.","apply for solo parent assistance,solo parent assistance application,request solo parent aid,solo parent support application,how to get solo parent assistance",1,7
27,"What are the requirements for 4Ps-related assistance?","For 4Ps-related assistance, residents commonly need a valid ID, proof of residency, and documents connected to their 4Ps beneficiary status or household records. Please confirm the exact requirements with the barangay office or the responsible staff.","requirements for 4ps assistance,4ps-related requirements,4ps assistance requirements,4ps beneficiary documents,pantawid requirements,4ps aid",1,7
28,"How do I ask about 4Ps-related assistance?","To ask about 4Ps-related assistance, go to the barangay office and bring your identification together with any beneficiary or household documents that may help staff verify your request.","ask about 4ps assistance,apply for 4ps assistance,4ps inquiry,4ps beneficiary assistance,how to get 4ps assistance,pantawid inquiry",1,7
29,"What are the requirements for livelihood assistance?","For livelihood assistance, residents usually need a valid ID, proof of residency, and documents related to the proposed livelihood activity or source of income. Please confirm the exact requirements with the barangay office before applying.","requirements for livelihood assistance,livelihood assistance requirements,livelihood aid,livelihood support,business starter assistance,income support requirements",1,7
30,"How do I apply for livelihood assistance?","To apply for livelihood assistance, visit the barangay office, explain the type of livelihood support you need, and submit your identification, residency proof, and any supporting documents requested by staff.","apply for livelihood assistance,livelihood assistance application,livelihood support application,request livelihood aid,how to get livelihood assistance",1,7
31,"What are the requirements for educational supplies assistance?","For educational supplies assistance, residents commonly need a valid ID, proof of residency, and school-related documents such as enrollment records or student identification. Please check with the barangay office for the exact list required by the program.","requirements for educational supplies assistance,educational supplies assistance requirements,school supplies assistance,student supplies aid,school materials support,enrollment documents requirement",1,7
32,"How do I apply for educational supplies assistance?","To apply for educational supplies assistance, go to the barangay office and bring your identification, proof of residency, and school documents needed to support the request.","apply for educational supplies assistance,educational supplies application,school supplies assistance application,student supplies request,how to get school supplies assistance",1,7
33,"What are the requirements for disaster relief assistance?","For disaster relief assistance, residents usually need a valid ID, proof of residency, and documents or reports related to the disaster impact on the household, if available. The barangay office can confirm the exact requirements depending on the emergency situation.","requirements for disaster relief assistance,disaster relief requirements,emergency relief assistance,calamity assistance requirements,disaster aid documents,relief support requirements",1,7
34,"How do I ask for disaster relief assistance?","To ask for disaster relief assistance, visit the barangay office as soon as possible and provide your identification, residency details, and any information about the damage or emergency affecting your household.","ask for disaster relief assistance,apply for disaster relief,emergency relief request,calamity assistance application,how to get relief assistance,disaster support request",1,7
